Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH XÂY DỰNG VÀ DỊCH VỤ THƯƠNG MẠI NAM ANH ĐIỆN BIÊN,CÔNG TY TNHH XD & DVTM NAM ANH ĐIỆN BIÊN,"Tổ dân phố 1, Thị Trấn Mường Ảng, Huyện Mường Ảng, Tỉnh Điện Biên, Việt Nam",,,2024-07-09,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TƯ VẤN VÀ XÂY DỰNG BẢO LINH,CÔNG TY TNHH TV&XD BẢO LINH,"Số nhà 175, Tổ dân phố 12, Phường Mường Thanh, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-07-10,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG THƯƠNG MẠI HIM LAM ĐIỆN BIÊN,CÔNG TY TNHH XDTM HIM LAM ĐIỆN BIÊN,"Bản Huổi Phạ, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-07-15,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ HOA BAN ĐIỆN BIÊN,HOA BAN DIEN BIEN INVESTMENT CONSULTING COMPANY LIMITED,5600346425,"Bản Nà Hỳ 2, Xã Nà Hỳ, Huyện Nậm Pồ, Tỉnh Điện Biên, Việt Nam",ĐẶNG QUANG TRUNG,0961142808,2024-07-26,Chi cục Thuế Huyện Nậm Pồ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN HUỔI PHẠ,CÔNG TY TNHH HUỔI PHẠ,"Bản Huổi Phạ, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-08-01,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH QUẢNG CÁO VÀ NỘI THẤT DŨNG NGHĨA MEDIA,CÔNG TY TNHH QC VÀ NT DŨNG NGHĨA MEDIA,"Số nhà 71, Tổ dân phố 5, Phường Thanh Trường, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-08-02,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SMARTTAX,SMARTTAX LIMITED LIABILITY COMPANY,5600346457,"Thôn Thanh Chung, Xã Thanh Hưng, Huyện Điện Biên, Tỉnh Điện Biên, Việt Nam",ĐỖ THỊ TRANG,0896001600,2024-08-02,Chi cục Thuế Huyện Điện Biên,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV HOÀNG ĐỨC HUY,5600346513,,0987 688689,,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,,,
CÔNG TY CỔ PHẦN KINH DOANH PHÁT TRIỂN AAM GROUP,CÔNG TY CỔ PHẦN KDPT AAM GROUP,"Tầng 1, Số nhà 226, Tổ dân phố 3, Phường Thanh Bình, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-05-16,Cục Thuế Tỉnh Điện Biên,,Đang hoạt động (đã được cấp GCN ĐKT),
KHU DU LỊCH SINH THÁI HIM LAM - CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ XÂY DỰNG SỐ 6,5600127247-005,,0914745195,,Cục Thuế Tỉnh Điện Biên,,,,
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT NHÀN ĐIỀU,CÔNG TY TNHH TM&SX NHÀN ĐIỀU,"Số nhà 81, Tổ dân phố 3, Phường Tân Thanh, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực thành phố Điện Biên Phủ - Mường Ảng,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH FS SỐP CỘP,5600346591,,,,,,,,
CÔNG TY TNHH FS QUỲNH NHAI,5600346601,,,,,,,,
VĂN PHÒNG ĐẠI DIỆN TỈNH ĐIỆN BIÊN - CÔNG TY CỔ PHẦN ĐẦU TƯ TIDO GROUP,0109096317-004,,0964969688,,Cục Thuế Tỉnh Điện Biên,,,,
CÔNG TY TNHH 86 ĐIỆN BIÊN,5600346619,,0988209186,,Chi cục thuế Huyện Mường Nhé,,,,
CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI HIM LAM,CÔNG TY TNHH ĐT&TM HIM LAM,"Số nhà 29, Tổ dân phố 9, Phường Him Lam, Thành phố Điện Biên Phủ, Tỉnh Điện Biên, Việt Nam",,,,,,,
CÔNG TY TNHH LIÊN MINH THỂ THAO ĐIỆN TỬ QUỐC GIA,Alliance National Esports company limited,"Số 31, ấp Xóm Đình, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,,2024-09-05,Chi cục Thuế khu vực Long Thành - Nhơn Trạch,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH GIÁO DỤC THỤ NHÂN,THU NHAN EDUCATION COMPANY LIMITED,3603980900,"82E, phố 3, ấp 3, Xã Phú Lợi, Huyện Định Quán, Tỉnh Đồng Nai, Việt Nam",LÌU SỲ PHƯƠNG,0937 048 985,2024-09-05,Chi cục Thuế khu vực Định Quán - Tân Phú,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN Ô TÔ MAI XUÂN,3603980971,,,,,,,,
CÔNG TY TNHH ĐỈNH TRÍ VIỆT,3603980883,,0969423168,,Chi cục Thuế khu vực Trảng Bom - Thống Nhất,,,,
CÔNG TY TNHH MÁY ÉP GẠCH HỮU BẢO,3603980851,,0975 390 366,,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,,,,
CÔNG TY TNHH SẢN XUẤT KINH DOANH THÁI KIM NGÂN,3603980876,,058 636 6668,,Chi cục Thuế khu vực Trảng Bom - Thống Nhất,,,,
CÔNG TY TNHH NỆM HOÀNG ANH PHÁT,3603980925,,0928574849,,Chi cục Thuế khu vực Trảng Bom - Thống Nhất,,,,
CÔNG TY CỔ PHẦN TRUYỀN THÔNG GIẢI TRÍ QUỐC TẾ SM TOÀN CẦU,3603980890,,,,,,,,
CÔNG TY TNHH THALA FRUITS - TRÁI CÂY NHẬP KHẨU ĐỒNG NAI,DONG NAI IMPORT FRUITS - THALA FRUITS COMPANY LIMITED,"1735 Nguyễn Ái Quốc, Khu phố 4, Phường Tân Tiến, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,,,,,,
CÔNG TY TNHH NÔNG ÂN PHÚ,3603981037,,,,,,,,
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI HÀ ANH LINH,HA ANH LINH PRODUCTION AND TRADING COMPANY LIMITED,"Tổ 11, ấp Hưng Bình, Xã Hưng Thịnh, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI THIÊN TÂM VINA,THIEN TAM VINA TRANSPORT TRADING SERVICES COMPANY LIMITED,3603980957,"Số 754, đường Trần Quốc Toản, tổ 11, khu phố 2, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",NGUYỄN THIỆN TÂM,,,,,
CÔNG TY TNHH NÔNG SẢN HANA NGUYÊN,HANA NGUYEN AGRICULTURAL PRODUCTS COMPANY LIMITED,3603981012,"115/N, ấp Phúc Nhạc 2, Xã Gia Tân 3, Huyện Thống Nhất, Tỉnh Đồng Nai, Việt Nam",NGUYỄN THIÊN PHƯỚC,,,,,
CÔNG TY TNHH HTP AN PHƯỚC,HTP AN PHUOC COMPANY LIMITED,3603981069,"Tổ 24, khu 5, ấp 8, Xã An Phước, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",BÙI THỊ ÁNH NGUYỆT,,,,,
CÔNG TY TNHH THƯƠNG MẠI HÓA CHẤT HOÀI NAM,3603980996,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI XNK ANH ĐÀO,3603980964,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG LÊ NGỌC MINH,LE NGOC MINH TRADING CONSTRUCTION COMPANY LIMITED,3603981051,"Số 94, tổ 4, ấp 5, Xã Sông Trầu, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",LÊ VĂN NGỌC,,,,,
CÔNG TY TNHH VÁN LỘC PHÁT,3603981076,,,,,,,,
CÔNG TY TNHH CƠ KHÍ XÂY DỰNG DÂN DỤNG VÀ CÔNG NGHIỆP QUANG TRUNG,3603981083,,,,,,,,
CÔNG TY TNHH TM & PT THỎ NGỌC,3603981100,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI THỦ ĐỨC,3603981132,,,,,,,,
CÔNG TY TNHH ĐIỆN CƠ DƯƠNG PHÁT,3603981125,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI HUYỀN TRÂN ĐN,HUYEN TRAN DN TRADING COMPANY LIMITED,3603981157,"Số 136/10/2, Đường Hà Huy Giáp, Tổ 24, Khu Kim Sơn, Thị Trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",VÕ TRƯƠNG HUYỀN TRÂN,,,,,
CHI NHÁNH CÔNG TY TNHH TÂM DIỄM PHÚC,3603974216-001,,0985354553,,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,,,,
CÔNG TY TNHH THƯƠNG MẠI PHÁT TRIỂN THỊNH VƯỢNG PHÁT - CHI NHÁNH NEO LONG THÀNH,3603619557-004,,0778220500,,Chi cục Thuế khu vực Biên Hòa - Vĩnh Cửu,,,,
CÔNG TY TNHH LƯƠNG THỰC NGỌC SANG,1402198866,,0707649719,,Chi cục Thuế khu vực 2,,,,
CÔNG TY TNHH NĂNG LƯỢNG MỚI ĐỒNG THÁP,DONG THAP NEW ENERGY GROUP COMPANY LIMITED,1402198584,"Đường Lê Đại Hành, Ấp 1, Xã Mỹ Trà, Thành phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",NGUYỄN NGỌC NGÂN,0898914763,2024-08-15,Chi cục Thuế khu vực 1,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU THÀNH ĐÔ THƯỜNG PHƯỚC,THANH DO THUONG PHUOC EXPORT IMPORT JOINT STOCK COMPANY,1402198908,"Thửa đất số 302, Tờ bản đồ số 27, Ấp 2, Xã Thường Phước 1, Huyện Hồng Ngự, Tỉnh Đồng Tháp, Việt Nam",NGUYỄN VĂN ĐÌA,0943819504,2024-08-30,Cục Thuế Tỉnh Đồng Tháp,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH XÂY DỰNG THANH PHƯỜNG,CÔNG TY TNHH XD THANH PHƯỜNG,"Ấp K8, Xã Phú Đức, Huyện Tam Nông, Tỉnh Đồng Tháp, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực 6,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LÂM PHÚ KHANG,LAM PHU KHANG TRADING SERVICES COMPANY LIMITED,"Số 159 Đường Trương Hán Siêu, Tổ 45, Khóm Mỹ Tây, Phường Mỹ Phú, Thành phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực 1,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH GIA BẢO SA ĐÉC,1402198898,,0944978786,,Chi cục Thuế khu vực 2,,,,
CHI NHÁNH ĐỒNG THÁP - CÔNG TY TNHH ĐẦU TƯ NĂNG LƯỢNG XANH VF VIỆT NAM,DONG THAP BRANCH - VIETNAM VF GREEN ENERGY INVESTMENT COMPANY LIMITED,0318601002-001,"Tầng 1, TTTM và Shophouse Cao Lãnh - Đồng Tháp, Phường 1, Thành phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",NGUYỄN THỊ TRƯỜNG GIANG,0896460709,2024-08-27,Chi cục Thuế khu vực 1,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH ĐỒNG THÁP - CÔNG TY TNHH LƯƠNG THỰC VÀ VẬT TƯ AN THỊNH,3002110518-001,,0919685792,,Chi cục Thuế khu vực 5,,,,
CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG MAI HỒNG PHÁT – CỬA HÀNG XĂNG DẦU MAI HỒNG PHÁT,CỬA HÀNG XĂNG DẦU MAI HỒNG PHÁT,"Tổ 10, Ấp 2, Xã Ba Sao, Huyện Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",,,2024-07-30,Chi cục Thuế khu vực 4,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN UY VÕ,1402198778,,0944990994,,Chi cục Thuế khu vực 3,,,,
CÔNG TY TNHH NGỌC BÍCH KIM DUNG,1402198739,,0919667817,,Chi cục Thuế khu vực 3,,,,
CÔNG TY CP BM HOÀN CẦU,1402198746,,0765558088,,Chi cục Thuế khu vực 1,,,,
CÔNG TY TNHH THUẬN GIÀU ĐT,1402198760,,0389999752,,Chi cục Thuế khu vực 3,,,,
CÔNG TY TNHH TM THÁI LÂM,TM THAI LAM COMPANY LIMITED,1402198802,"Quốc Lộ 30, Tổ 01, Ấp An Định, Xã An Bình, Huyện Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",ĐẶNG XUÂN QUANG,0931794317,2024-08-27,Chi cục Thuế khu vực 4,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH NGUYÊN PHÁT PHONG MỸ,1402198792,,0782950864,,Chi cục Thuế khu vực 4,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN CODUM,CÔNG TY TNHH MTV CODUM,"Số 133, ấp An Hòa, Xã Mỹ An Hưng B, Huyện Lấp Vò, Tỉnh Đồng Tháp, Việt Nam",,,2024-08-27,Chi cục Thuế khu vực 5,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV TUẤN ANH ĐỒNG THÁP,1402198827,,0989980090,,Chi cục Thuế khu vực 1,,,,
CÔNG TY TNHH MTV BIOTECH ĐỒNG THÁP,1402198841,,0833901109,,Chi cục Thuế khu vực 1,,,,
CÔNG TY TNHH BIOENERGY GIA HÒA,GIA HOA BIOENERGY COMPANY LIMITED,1402198859,"226/4, Ấp Tân Định, Xã Tân Thành, Huyện Lai Vung, Tỉnh Đồng Tháp, Việt Nam",TRẦN GIA THÀNH,0977189187,2024-08-29,Chi cục Thuế khu vực 5,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CHI NHÁNH ĐỒNG THÁP - CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ SÀI GÒN THIÊN BẢO,3603623666-002,,0909182222,,Chi cục Thuế khu vực 6,,,,
VĂN PHÒNG ĐẠI DIỆN ĐỒNG THÁP - CÔNG TY TNHH ROYAL DISTRIBUTION,0309590643-008,,2024-09-04,,,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI - DỊCH VỤ XÂY DỰNG HƯNG HUY,CÔNG TY TNHH TMDVXD HH,"95, Phạm Ngũ Lão, Phường 1, Thành phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam",,,2024-09-04,Chi cục Thuế khu vực 1,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH DỊCH VỤ VÀ SỮA CHỮA XE ÔTÔ GARA AUTO 66,GARA AUTO 66 CAR SERVICE AND REPAIR COMPANY LIMITED,1402198922,"Quốc lộ 80, Xã Hòa Thành, Huyện Lai Vung, Tỉnh Đồng Tháp, Việt Nam",LÂM SƠN TÙNG,0987474829,2024-09-04,Chi cục Thuế khu vực 5,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MAY MẶC THỊNH PHÁT DT,THINH PHAT DT GARMENT COMPANY LIMITED,1402198961,"Ấp Bình Chánh, Xã Bình Thành, Huyện Thanh Bình, Tỉnh Đồng Tháp, Việt Nam",NGÔ THỊ THU THỦY,,,,,
CÔNG TY TNHH MTV NHA KHOA QUỐC TẾ ĐẠI THÀNH,DAI THANH INTERNATIONAL DENTAL ONE MEMBER COMPANY LIMITED,"49 Nguyễn Huệ, Khóm 1, Thị Trấn Sa Rài, Huyện Tân Hồng, Tỉnh Đồng Tháp, Việt Nam",,,,,,,
CÔNG TY TNHH HÙNG VŨ BÌNH PHƯỚC,CTY HÙNG VŨ BÌNH PHƯỚC,"Thôn Hương Phú, Xã Ia Glai, Huyện Chư Sê, Tỉnh Gia Lai, Việt Nam",,,2024-08-19,Chi cục Thuế khu vực Chư Sê - Chư Pưh,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV KIẾN TRÚC VÀ XÂY DỰNG AZ HOUSE,AZ HOUSE ARCHITECTURE & CONSTRUCTION ONE MEMBER COMPANY LIMITED,5901212520,"18/4 Phan Đăng Lưu, Phường Thống Nhất, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",LÊ TRUNG HIẾU,0964541579,2024-08-20,Chi cục Thuế Thành phố Pleiku,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH LÊ GIA AN KHANG,LE GIA AN KHANG COMPANY LIMITED,5901212538,"644 Lê Duẩn, Phường Thắng Lợi, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",LÊ QUANG HUY,0977316677,2024-08-20,Chi cục Thuế Thành phố Pleiku,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN QUẢNG CÁO VÀ NỘI THẤT ĐẠI DƯƠNG,CÔNG TY TNHH MTV QUẢNG CÁO VÀ NỘI THẤT ĐẠI DƯƠNG,"38 Đinh Tiên Hoàng, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam",,,2024-08-22,Chi cục Thuế khu vực Đak Đoa - Mang Yang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN CHI TOÀN GIA LAI,CÔNG TY TNHH MTV CHI TOÀN GIA LAI,"312 Quang Trung, Phường An Phú, Thị xã An Khê, Tỉnh Gia Lai, Việt Nam",,,2024-08-23,Chi cục Thuế khu vực An Khê - Đak Pơ - Kông Chro,,Đang hoạt động (đã được cấp GCN ĐKT),
DOANH NGHIỆP TƯ NHÂN XĂNG DẦU NGUYỄN MINH TÙNG,DNTN NGUYỄN MINH TÙNG,"Thôn Châu Sơn, Xã Đăk Yă, Huyện Mang Yang, Tỉnh Gia Lai, Việt Nam",,,2024-08-23,Chi cục Thuế khu vực Đak Đoa - Mang Yang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH FAST VIET GROUP,FAST VIET GROUP COMPANY LIMITED,5901212619,"Đê Thung, Xã Đak Krong, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam",TRẦN XUÂN THIẾT,0368537229,2024-08-26,Chi cục Thuế khu vực Đak Đoa - Mang Yang,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG THƯ NGÂN,THU NGAN CONSTRUCTION GIA LAI ONE MEMBER COMPANY LIMITED,5901212545,"Tổ dân phố 8, Thị Trấn Phú Thiện, Huyện Phú Thiện, Tỉnh Gia Lai, Việt Nam",TRẦN THỊ LAN,0981750555,2024-08-22,Chi cục Thuế khu vực Ayun Pa - Phú Thiện - Ia Pa,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH KSOR DÂN GIA LAI,CTY KSOR DÂN GL,"440 Lê Thánh Tôn, Phường Hội Phú, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,2024-08-26,Chi cục Thuế Thành phố Pleiku,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MỘT THÀNH VIÊN YẾN SÀO THIÊN KỲ,THIEN KY BIRD'S NEST,"Lô B1 khu đô thị SH Land, số 65 Lý Nam Đế, Phường Trà Bá, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,2024-08-23,Chi cục Thuế Thành phố Pleiku,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SẢN XUẤT - ĐÓNG GÓI - GIA CÔNG & THƯƠNG MẠI HOA SEN TÂY NGUYÊN,CTY TNHH SX-ĐG-GC&TM HOA SEN TÂY NGUYÊN,"24B Nguyễn Thiếp, Phường Diên Hồng, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,2024-08-28,Chi cục Thuế Thành phố Pleiku,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI MINH VI GIA LAI,MINH VI GIA LAI TRADING COMPANY LIMITED,5901212640,"Thôn Ia Lâm, Xã Ia Krêl, Huyện Đức Cơ, Tỉnh Gia Lai, Việt Nam",TRỊNH THỊ VÂN,0963030079,2024-08-28,Chi cục Thuế Huyện Đức Cơ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV GIA PHÁT PLEIKU,GIA PHAT PLEIKU COMPANY LIMITED,5901212665,"128 Trần Quý Cáp, Phường Yên Đỗ, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",NGUYỄN THỊ THANH HẰNG,0327725935,2024-08-29,Chi cục Thuế Thành phố Pleiku,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THIẾT KẾ THI CÔNG XD & NỘI THẤT ĐỨC QUÝ,DUC QUY FURNITURE XD & DESIGN CONSTRUCTION COMPANY LIMITED,"Thôn 5, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Đak Đoa - Mang Yang,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY CỔ PHẦN DALUFOOD,DALUFOOD JOINT STOCK COMPANY,5901212697,"Tỉnh lộ 664, Làng Ia Tong, Xã Ia Dêr, Huyện Ia Grai, Tỉnh Gia Lai, Việt Nam",LÊ HOÀNG ĐẠT,0978568998,2024-08-29,Cục Thuế Tỉnh Gia Lai,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN CÔNG NGHỆ AN HƯNG THỊNH,AN HUNG THINH TECHNOLOGY ONE MEMBER COMPANY LIMITED,5901212658,"Tổ 2, Phường Chi Lăng, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",TRẦN THỊ MỸ THẢO,0987029213,2024-08-29,Chi cục Thuế Thành phố Pleiku,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN SOFIA - CHI NHÁNH CHƯ SÊ,0313373391-007,,0905888269,,Chi cục Thuế khu vực Chư Sê - Chư Pưh,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN ĐAN PHÁT GIA LAI,DAN PHAT GIA LAI ONE MEMBER COMPANY LIMITED,5901212721,"20 Nguyễn Văn Trỗi, Phường Hội Thương, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",NGUYỄN NGỌC MINH,0905179168,2024-09-04,Chi cục Thuế Thành phố Pleiku,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH TƯ VẤN XÂY DỰNG VÀ THƯƠNG MẠI AN THỊNH,AN THINH TRADING AND CONSTRUCTION CONSULTANT COMPANY LIMITED,5901212714,"102/5 Lý Thường Kiệt, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam",NGUYỄN THỊ HỒNG THANH,0389114597,2024-09-04,Chi cục Thuế khu vực Đak Đoa - Mang Yang,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN INDOCHINA LUMBER,INDOCHINA LUMBER JOINT STOCK COMPANY,5901212739,"Thôn 1, Xã Thăng Hưng, Huyện Chư Prông, Tỉnh Gia Lai, Việt Nam",NGUYỄN THỊ HÀ,0978566626,2024-09-04,Chi cục Thuế Huyện Chư Prông,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MỘT THÀNH VIÊN ĐẠI HẠNH GIA LAI,DAI HANH GIA LAI ONE MEMBER COMPANY LIMITED,5901212707,"Tổ dân phố 12, Thị Trấn Phú Thiện, Huyện Phú Thiện, Tỉnh Gia Lai, Việt Nam",LÊ HỮU ĐẢM,0989635989,2024-09-04,Chi cục Thuế khu vực Ayun Pa - Phú Thiện - Ia Pa,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN CƠ KHÍ GIAO THÔNG TTB,CÔNG TY CƠ KHÍ GIAO THÔNG TTB,"109 Hoàng Quốc Việt, Phường Hoa Lư, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ XÂY DỰNG MINH THÔNG MỘT,CTY TNHH MTV MINH THÔNG 1,"397 Võ Văn Kiệt, Phường Yên Thế, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,,,,,
CÔNG TY TNHH TM&DV NAM NGUYÊN GIA LAI,CTY TM&DV NAM NGUYÊN,"13 Ngô Sỹ Liên, Xã Biển Hồ, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",,,,,,,
CÔNG TY CỔ PHẦN CHĂN NUÔI NAM GIA LAI,5901212778,,,,,,,,
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CẦN HÀ,5100499399,,0585668222,,Chi cục Thuế TP Hà Giang,,,,
CÔNG TY TNHH THÀNH ĐÔ HG,5100499374,,0912115566,,Chi cục Thuế TP Hà Giang,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN PHƯƠNG ANH HG,CÔNG TY TNHH 1TV PHƯƠNG ANH HG,"Số nhà 19 A, Phố Phan Đình Phùng, tổ 17 , Phường Minh Khai, Thành Phố Hà Giang, Tỉnh Hà Giang, Việt Nam",,,2024-08-07,Chi cục Thuế TP Hà Giang,,Đang hoạt động (đã được cấp GCN ĐKT),
